INFO 2025-02-16 13:50:20,565 scheduler Starting scheduler...
ERROR 2025-02-16 13:50:20,581 scheduler Error starting scheduler: (1146, "Table 'icare.django_apscheduler_djangojob' doesn't exist")
INFO 2025-02-16 13:50:47,283 scheduler Starting scheduler...
ERROR 2025-02-16 13:50:47,295 scheduler Error starting scheduler: (1146, "Table 'icare.django_apscheduler_djangojob' doesn't exist")
INFO 2025-02-16 13:50:59,016 scheduler Starting scheduler...
INFO 2025-02-16 13:55:43,445 scheduler Starting scheduler...
INFO 2025-02-16 17:11:13,307 scheduler Starting scheduler...
INFO 2025-02-16 17:11:24,214 scheduler Starting scheduler...
INFO 2025-02-16 17:15:07,403 scheduler Starting scheduler...
INFO 2025-02-16 17:15:53,266 scheduler Starting scheduler...
INFO 2025-02-16 17:16:43,231 scheduler Starting scheduler...
INFO 2025-02-16 17:17:14,175 scheduler Starting scheduler...
INFO 2025-02-16 17:24:59,997 scheduler Starting scheduler...
INFO 2025-02-16 17:26:38,588 scheduler Starting scheduler...
INFO 2025-02-16 17:28:54,727 scheduler Starting scheduler...
INFO 2025-02-16 17:29:41,268 scheduler Starting scheduler...
INFO 2025-02-16 17:30:35,419 scheduler Starting scheduler...
INFO 2025-02-16 17:30:42,641 scheduler Starting scheduler...
INFO 2025-02-16 17:32:36,801 scheduler Starting scheduler...
INFO 2025-02-16 17:32:43,726 scheduler Starting scheduler...
INFO 2025-02-16 17:32:53,781 scheduler Starting scheduler...
INFO 2025-02-16 17:33:01,727 scheduler Starting scheduler...
INFO 2025-02-16 17:35:37,219 scheduler Starting scheduler...
INFO 2025-02-16 17:35:50,070 scheduler Starting scheduler...
INFO 2025-02-16 17:37:21,146 scheduler Starting scheduler...
INFO 2025-02-16 17:37:50,962 scheduler Starting scheduler...
INFO 2025-02-16 17:37:57,780 scheduler Starting scheduler...
INFO 2025-02-16 17:38:24,433 scheduler Starting scheduler...
INFO 2025-02-16 17:38:44,354 scheduler Starting scheduler...
INFO 2025-02-16 20:35:52,648 scheduler Starting scheduler...
INFO 2025-02-16 20:39:32,986 scheduler Starting scheduler...
INFO 2025-02-16 20:40:50,477 scheduler Starting scheduler...
INFO 2025-02-16 20:41:12,450 scheduler Starting scheduler...
INFO 2025-02-16 20:41:24,668 scheduler Starting scheduler...
INFO 2025-02-16 20:41:34,232 scheduler Starting scheduler...
